Titre,Ingrédients,Instructions
"Brochettes de canard, légumes et fruits d'été de Cyril Lignac","Courgette (1), Canard (6 filet), Abricot(s) (6), Tomate(s) cerise(s) (12), Citron (1), Huile d'olive (), Sauce huître (1 c. à soupe), Sauce soja (1 c. à soupe), Miel (1 c. à soupe), Pistache(s) concassée(s) (150 g), Graine de sésame blanc (100 g), Graine(s) de tournesol (2 c. à soupe), Graine de cumin (3 c. à soupe), Ras-el-hanout (2 c. à soupe), Fleur de sel (1 c. à café)",
"Boulettes de veau au citron, polenta de Cyril Lignac","Veau haché (300 g), Parmesan râpé (15 g), Œuf(s) (1), Ricotta (50 g), Persil hâché (1 c. à soupe), Pain de mie sans croûte (50 g), Zeste de citron (1), Muscade (1 pincée(s)), Sel fin (), Poivre du moulin (), Lait (), Jus de citron (1), Bâton(s) de cannelle (1), Laurier (4 Feuille(s)), Beurre doux (25 g), Bouillon de volaille (0,25 l), Huile d'olive (), Polenta (125 g), Bouillon de volaille (50 cl), Mascarpone (1 c. à soupe), Parmesan râpé (20 g), Beurre (20 g)",
Sauté de veau au Monsieur Cuisine,"Noix de veau (750 g), Tomate(s) pelée(s) (500 g), Vin blanc sec (100 ml), Bouillon de bœuf (100 ml), Huile d'olive (50 ml), Beurre (50 g), Carotte(s) (4), Poivron (2), Oignon(s) (4), Ail (1 gousse(s)), Thym (6 branche(s)), Sel (), Poivre ()",
Saucisses lentilles au Cookeo,"Lentille(s) sèche(s) (500 g), Saucisse(s) fumée(s) (4), Lardons fumés (140 g), Carotte(s) (3), Oignon(s) (1), Laurier (3 feuilles), Eau (150 cl), Sel (), Poivre ()",
Filet de saumon au four,"Filet de saumon (600 g), Huile d'olive (30 ml), Origan séché (4 g), Sel (1 pincée(s)), Poivre (1 pincée(s))",
Rougail saucisse au Cookeo,"Saucisse(s) de Morteau (2), Tomate concassée (200 g), Oignon(s) (1), Eau (100 ml), Cayenne en poudre (1 c. à café), Thym (1 branche(s)), Curcuma (1 c. à café), Gingembre frais (5 g), Huile d'olive (1 c. à soupe)",
Momies feuilletées de saucisses d’Halloween,"Pâte(s) feuilletée(s) (1), Saucisse(s) de Strasbourg (6), Jaune(s) d'œuf(s) (1), Moutarde (1 c. à café)",
Saucisses au chou vert,"Chou vert (1), Saucisse(s) (4), Oignon(s) (2), Échalote(s) (1), Huile d'olive (2 c. à soupe), Thym (2 Branches), Laurier (1 feuille), Sel poivre ()",
Filets de poulet  sautés à la moutarde et crème,"Filet(s) de poulet (4), Échalote(s) (1), Crème fraîche (épaisse) (20), Moutarde (), Beurre (20 g), Huile végétale ()",
Filet de lieu noir au four,"Lieu noir(s) (600 g), Tomate(s) (4), Oignon(s) (1), Huile d'olive (), Vin blanc (), Thym (), Poivron(s) jaune(s) (), Poivron(s) rouge(s) (), Sel poivre ()",
Kefta,"Viande d'agneau (700 g), Oignon(s) (1), Ail (1 Gousse), Œuf(s) (1), Cumin en poudre (1 c. à café), Ras el-hanout (1 c. à café), Piment en poudre (1 pincée(s)), Menthe fraîche (8 feuilles), Coriandre hachée (3 c. à soupe), Sel fin (1 pincée(s)), Poivre du moulin (1 pincée(s))",
Fajitas à la viande hachée,"Farine de maïs (200 g), Farine de blé (100 g), Eau tiède (25 cl), Sel (), Viande hachée (400 g), Oignon(s) (0,5), Eau (Un peu), Épices variées (), Coriandre en poudre (), Coriandre fraîche (), Sel poivre (), Tomate(s) (4), Concombre(s) (0,5), Poivron(s) vert(s) (0,5), Oignon(s) (0,25), Épices variées (), Persil plat (), Ail (1 Gousse), Sel (), Tomate(s) (2), Concombre(s) (0,5), Oignon(s) (0,5), Salade verte (lamelles), Crème fraîche (), Comté râpé (), Sel ()",
Aubergines farcies à la viande hachée faciles,"Aubergine(s) (4), Bœuf haché (300 g), Tomate(s) (3), Oignon(s) (1), Ail (5 gousse(s)), Fromage râpé (), Basilic (), Huile d'olive (), Sel poivre ()",
"Filets de daurade au four, ail et huile d’olive au basilic","Filet(s) de daurade (2), Bouillon cube de légumes (7,5 g), Ail en poudre (2 c. à café), Huile d'olive (), Basilic frais (), Papier cuisson ()",
Filet de julienne au four,"Filet de julienne (800 g), Pomme(s) de terre (600 g), Tomate(s) (4), Échalote(s) (2), Vin blanc sec (1 Bouteille(s)), Citron(s) (1), Curcuma (0,5 c. à café), Sel poivre du moulin ()",
Saucisses au chou au Cookeo,"Chou vert (1), Saucisse(s) fumée(s) (6), Pomme(s) de terre (4), Lardons fumés (75 g), Oignon(s) (1), Huile d'olive (1 c. à soupe), Eau (500 ml), Kubor (1), Vin blanc (), Sel (), Poivre ()",
Pain de viande  simplissime,"Bœuf haché (350 g), Persil (1 bouquet(s)), Oignon(s) (1), Mie de pain (20 g), Muscade (1 pincée(s)), Ketchup (3 c. à soupe), Œuf(s) (1), Sel (1 c. à café), Poivre ()",
Tourte à la viande hachée,"Pâte feuilletée(s) (2), Tomate pelée en dés (1 boîte(s)), Oignon(s) (1), Bœuf haché (200 g), Persil (), Huile (2 c. à soupe), Jaune(s) d'œuf(s) (1), Sel, poivre ()",
Salmis de palombe du Sud Ouest,"Pigeon (2), Jambon sec (1 tranche(s)), Beurre (50 g), Huile (1 c. à soupe), Armagnac (5 cl), Oignon(s) (1), Carotte(s) (2), Champignon(s) de paris (120 g), Ail (2 gousse(s)), Bouquet(s) garni(s) (1), Madiran (75 cl), Fond de volaille déshydraté (3 c. à soupe), Muscade (1 pincée(s)), Sel, poivre ()",
Ragoût de mouton aux haricots blancs,"Mouton (1 kg), Haricots blancs (500 g), Tomate(s) (2), Carotte(s) (1), Ail (3 gousse(s)), Oignon(s) (1), Oignon(s) grelot(s) (10), Farine (1 c. à soupe), Bouillon de légumes (50 cl), Thym (2 Branches), Laurier (2 feuilles), Beurre (30 g), Huile (3 c. à soupe), Sel poivre (), Clou(s) de girofle ()",
